8920;9061;8910;8807;9028;9078;9073;9020;8983;9032;9029;9085;9105;9115;9179;8999;9060;8940;9149;9063;9041;9030;9155;9043;9209;9186;9302;9228;9189;9027;9083;9085;9208;9043;9353;9086;9017;9009;9237;9022;9059;9110;9062;9156;9170;9194;9159;9090;9003;9115;9260;9129;9058;9248;9030;8927;9001;9099;9210
6912;6854;6930;7080;6790;7175;7055;7154;7034;7073;7198;7232;7012;7034;6988;7088;6996;6937;7052;7002;7092;7310;7010;6968;7068;7233;7045;7143;7164;7174;7242;7032;7038;7047;7079;7057;6932;6960;7106;7114;7171;7111;7084;6990;7168;7234;7076;7000;7016;6985;7050;6985;6966;7028;7122;7144;7130;7199;7181
5140;5207;5177;5207;5303;5172;5309;5259;5263;5290;5398;5279;5398;5344;5394;5405;5305;5185;5283;5346;5290;5202;5308;5192;5178;5274;5329;5333;5363;5263;5291;5246;5209;5456;5302;5269;5368;5133;5215;5382;5228;5250;5269;5427;5298;5337;5403;5279;5432;5386;5330;5312;5356;5255;5337;5337;5242;5197;5253
3655;3632;3659;3733;3688;3579;3652;3728;3659;3603;3728;3659;3727;3666;3724;3791;3774;3707;3707;3798;3613;3713;3675;3773;3630;3678;3680;3767;3738;3691;3699;3670;3753;3783;3720;3637;3692;3675;3673;3749;3630;3637;3759;3694;3525;3767;3700;3758;3621;3739;3639;3684;3605;3732;3667;3713;3674;3646;3616
2211;2325;2240;2209;2323;2197;2350;2320;2294;2291;2220;2287;2469;2331;2429;2342;2377;2404;2400;2410;2471;2456;2393;2454;2341;2406;2365;2331;2418;2369;2457;2385;2407;2399;2463;2386;2370;2229;2304;2362;2499;2382;2361;2364;2448;2300;2414;2387;2470;2380;2412;2352;2369;2404;2376;2429;2450;2391;2358
1159;1209;1229;1267;1185;1205;1208;1240;1246;1230;1201;1237;1327;1296;1341;1443;1394;1438;1466;1401;1389;1480;1385;1418;1378;1453;1342;1376;1337;1391;1394;1369;1355;1434;1436;1432;1426;1435;1433;1415;1450;1364;1402;1386;1393;1375;1473;1431;1375;1314;1386;1379;1427;1383;1449;1375;1409;1363;1370
611;603;610;636;601;638;634;594;646;777;725;741;736;799;793;750;731;778;788;779;760;766;735;738;804;705;717;776;772;792;750;735;799;780;742;779;744;819;768;790;738;765;803;798;754;799;748;777;801;778;744;761;732;824;753;730;807;769;786
232;304;272;303;275;259;285;276;251;260;244;278;239;278;246;256;297;299;282;270;261;279;281;297;301;232;292;249;271;270;268;238;257;255;249;282;294;265;252;280;268;266;277;297;247;291;270;273;270;280;250;281;310;382;329;361;407;415;394
262;245;225;236;262;234;266;243;282;264;239;261;258;230;263;246;254;288;305;337;407;296;309;347;367;380;394;435;403;354;386;395;441;345;297;253;219;231;223;253;257;253;243;193;255;269;230;245;238;229;241;233;277;225;250;250;269;261;255
86;91;92;95;90;105;80;95;97;121;89;86;85;108;100;100;106;81;78;94;83;104;111;106;95;92;91;86;77;86;93;108;84;97;87;104;108;114;90;91;89;92;98;98;99;93;108;93;96;87;95;101;73;99;115;89;100;117;122
