8884;8887;9054;8888;8945;8854;8872;9103;8960;8912;9128;9340;9163;9066;8984;9154;9448;8967;9172;9111;9041;9056;9257;9100;9115;9329;9266;9122;9107;9104;9158;9049;9155;8969;9130;9224;9129;9118;9276;9176;9148;9183;9039;9046;9168;9103;8875;9180;8940;8972;9229;8994;9227;9212;9009;9049;8988;9366;9118
6959;6990;7253;7078;7102;7069;7157;7099;7178;7164;7169;7169;7130;7210;7202;7239;7037;7223;7087;7192;7249;7171;7137;7248;7270;7161;7196;7043;7089;7140;7038;6889;7031;7199;7121;6860;6959;6953;6920;6997;7135;7178;7162;7147;7123;7192;7322;7341;7160;7291;7226;7172;7074;7122;7163;7021;7216;7414;7317
5179;5258;5172;5273;5279;5363;5345;5242;5165;5381;5419;5363;5514;5442;5323;5430;5440;5334;5207;5376;5201;5161;5337;5209;5236;5319;5282;5342;5218;5262;5240;5295;5171;5391;5379;5424;5447;5284;5410;5483;5367;5376;5316;5615;5332;5281;5249;5432;5483;5412;5513;5363;5451;5297;5300;5198;5402;5423;5330
3561;3502;3823;3743;3701;3605;3687;3630;3628;3682;3707;3757;3703;3707;3696;3680;3707;3644;3618;3577;3575;3630;3720;3739;3686;3694;3608;3618;3711;3738;3731;3594;3708;3716;3592;3609;3784;3649;3675;3707;3656;3729;3709;3650;3645;3779;3620;3755;3630;3695;3678;3680;3594;3592;3757;3743;3706;3610;3664
2352;2279;2257;2307;2259;2289;2310;2273;2221;2285;2350;2427;2407;2372;2411;2472;2388;2508;2308;2471;2533;2635;2492;2339;2359;2413;2482;2527;2519;2493;2639;2636;2552;2496;2301;2398;2314;2344;2401;2469;2414;2343;2411;2385;2310;2306;2450;2375;2421;2299;2347;2343;2417;2362;2413;2556;2559;2484;2533
1250;1209;1288;1303;1257;1308;1277;1307;1218;1250;1216;1238;1261;1324;1439;1534;1500;1542;1518;1549;1546;1412;1344;1451;1496;1406;1363;1458;1414;1390;1448;1499;1468;1562;1520;1557;1560;1574;1527;1514;1509;1501;1496;1452;1506;1543;1601;1393;1328;1315;1347;1381;1369;1358;1368;1580;1548;1551;1571
640;612;623;632;672;675;625;679;709;814;732;789;864;956;838;900;879;896;958;822;776;882;807;743;766;732;734;758;710;752;735;734;729;781;755;748;731;811;806;819;694;711;803;939;843;796;805;787;894;812;801;960;895;921;857;931;896;942;896
307;331;333;311;343;305;331;325;305;305;343;315;294;314;331;317;297;311;319;331;281;316;298;305;341;297;300;373;307;315;291;309;312;327;320;316;318;293;320;284;332;296;296;308;308;302;309;337;344;306;314;291;325;385;335;497;460;549;472
302;304;279;296;309;287;269;307;310;259;320;303;308;281;280;283;335;381;406;337;463;371;468;479;508;510;524;555;540;498;559;553;552;508;316;272;288;269;281;294;301;260;286;284;275;322;261;238;277;273;310;297;316;320;286;266;289;326;271
91;88;106;94;100;75;97;87;123;89;88;87;79;109;93;109;88;101;107;88;102;101;99;91;94;87;88;74;119;98;116;99;92;98;97;95;101;97;92;94;130;99;101;105;113;102;106;89;100;112;108;116;93;95;92;98;74;114;133
