1043	6253	1666	1109
1035	6276	1658	1117
1021	6227	1652	1121
1040	6266	1677	1102
1037	6271	1648	1115
1037	6259	1662	1127
1026	6249	1661	1121
1060	6281	1684	1100
1031	6269	1663	1105
1031	6261	1650	1129
2801	6013	54	1324
2808	6059	55	1297
2822	6026	59	1309
2782	6029	53	1310
2811	6019	53	1310
2806	6017	55	1293
2799	6034	52	1316
2828	6042	54	1310
2814	6001	51	1312
2802	6029	56	1306			
2357	6382	1539	24
2370	6394	1518	25
2374	6398	1547	22
2357	6373	1557	26
2377	6350	1535	25
2389	6361	1545	28
2383	6393	1525	26
2367	6380	1557	25
2404	6355	1535	27
2380	6389	1536	25
42	2566	3732	3538
38	2516	3719	3554
37	2571	3710	3523
37	2540	3726	3512
35	2569	3750	3515
41	2526	3730	3544
37	2544	3736	3544
42	2567	3725	3495
41	2566	3755	3520
40	2553	3736	3513
