# Quantenoptiklabor: Experiment Zwei-Photonen-Interferenz nach Franson
# Messung vom 07.05.2010 und 05.05.2010
# Datenaufnahme: jeder Messpunkt: 1s
# Didaktik der Physik, Universität Erlangen
# Lab-User: Florian Bier

#Aufnahme der Koinzidenzen von den Datektoren an Interferometerausgängen Alice und Bob

# Das Interferometer Alice steht bei allen Messungen auf einer Armlängendifferenz von 50 µm

#Achsenbeschriftung:
# Weg [µm]	Koinz bei Wegunterschied Bob 0µm [Hz]	Koinz bei Wegunterschied Bob 50 µm[Hz]	Koinz bei Wegunterschied Bob 30µm [Hz]


0.62927	797.6	1818	2848.7
0.63384	767.4	1836	2863.9
0.63775	669.4	1857	2844
0.6397	611.7	1826.2	2830.7
0.64557	545.7	1863.6	2846.2
0.64882	526.7	1887.6	2851
0.65339	500.7	1910.8	2812.4
0.6573	489	1945.6	2848.6
0.66121	497.2	1972	2844.6
0.66577	491.3	1966.4	2855.7
0.66968	496.1	2076.2	2841.4
0.67424	531.3	2108.8	2844.4
0.67815	577.5	2110.2	2845.8
0.68206	590	2209.2	2876.6
0.68662	621.3	2264.6	2842.8
0.68988	688.4	2322.4	2828.6
0.69379	774.8	2339.6	2863.3
0.6964	830.3	2413.6	2841.5
0.70161	954.1	2393.4	2839
0.70487	992.5	2512.2	2852.4
0.71009	1204.1	2521	2863.5
0.71334	1194.3	2603.6	2848.2
0.71725	1345.9	2703.2	2836.9
0.72116	1418.2	2720	2865.3
0.72573	1550.2	2834.6	2853.8
0.72964	1607	2753	2841.9
0.73355	1761.9	2873.6	2847.8
0.73746	1985.4	2922.6	2835.9
0.74137	1988	2939.6	2850.5
0.74658	2137	3032.6	2824.2
0.74919	2454.5	3097	2840.9
0.7544	2526.4	3075.8	2844.5
0.75766	2634.3	3045.8	2826.6
0.76092	2761.4	3017.6	2835.3
0.76613	2864.6	3171.8	2834.8
0.76939	2974.8	3232	2831.5
0.7733	3155.2	3255.2	2858.1
0.77786	3437.7	3253.8	2862.1
0.78112	3492.7	3366.4	2852.7
0.78568	3614.4	3448.4	2838.3
0.78959	3723.7	3556	2823.9
0.79285	3942.3	3585.2	2858.3
0.79806	3992.6	3548.2	2840.1
0.80198	4080.5	3577.8	2829.5
0.80654	4206.8	3602	2837.5
0.81045	4392.7	3685	2833.6
0.81501	4471.7	3622.8	2835.4
0.81892	4578.5	3682.6	2826.2
0.82283	4631.1	3745.6	2821.5
0.82674	4773.1	3710.4	2835.1
0.83	4873.2	3785.6	2829.8
0.83521	4963.4	3767	2831.4
0.83782	5012.1	3823.6	2845
0.84173	5031	3781.8	2824.4
0.84564	5054.2	3813.4	2830.2
0.84955	5147	3783	2817.4
0.85411	5199.5	3855.8	2835.6
0.85737	5205.8	3812.2	2828.1
0.86258	5219.5	3762.6	2817.9
0.86584	5189.1	3786.8	2815.5
0.8704	5220.5	3771.2	2827.5
0.87431	5187.8	3749.8	2822.3
0.87822	5085.8	3727	2806.5
0.88148	5122.3	3708.4	2830.1
0.88604	5125.8	3645	2811.1
0.8893	5045.7	3686.4	2832.1
0.89452	5024.2	3610.2	2840.8
0.89843	4983.4	3541.2	2789.5
0.90299	4864.8	3559.4	2812.1
0.90755	4794.2	3518.4	2820.7
0.91081	4749.9	3554.4	2793.8
0.91342	4623.8	3406	2815.9
0.91798	4601	3402.6	2849
0.92254	4469.7	3305.6	2837.6
0.92515	4398.1	3250.6	2826.1
0.92971	4186.8	3227.2	2817.5
0.93362	4004.3	3110	2834.1
0.93753	3893.5	3020.2	2813.5
0.94209	3780.9	2982.2	2834
0.94665	3776.4	3007.4	2842.2
0.95056	3573.2	2912	2838.4
0.95447	3415.9	2889.2	2836.6
0.95838	3261.1	2840.8	2820.1
0.96229	3027	2776.2	2821.9
0.9662	2948.5	2755	2790.8
0.97077	2696.2	2782	2807.9
0.97402	2668.6	2676.6	2796.4
0.97793	2491.8	2613.2	2845.9
0.98315	2278.7	2611.8	2829.1
0.98706	2157.9	2451.8	2803.2
0.98967	2059.1	2498	2810.9
0.99488	1876.9	2404.4	2807.9
0.99879	1676.1	2383.2	2817.2
1.0027	1696	2373	2802.5
1.0066	1620.1	2367.8	2825.6
1.0092	1461.4	2195.4	2832.3
1.0138	1268.1	2217.6	2847
1.019	1308.7	2140.2	2816.2
1.0223	1107.6	2072.4	2830.1
1.0268	943.9	2027.6	2845.8
1.0307	856.3	2061.6	2828.6
1.0346	826.3	1995.2	2828.7
1.0385	742.6	1933.8	2809.8
1.0425	683.6	1903.2	2817
1.0464	648.3	1890.2	2818.4
1.0509	537.6	1907	2798.6
1.0542	535.7	1898.8	2818.6
1.0581	489.1	1843.4	2837.5
1.0627	494.3	1857.6	2825.9
1.0666	470.5	1848.8	2816.7
1.0711	475.2	1876.8	2800.6
1.075	472	1833.4	2836.2
1.0789	510	1826.8	2867.1
1.0822	514.1	1810	2852
1.0861	519.8	1829	2816.3
1.09	598.3	1817.8	2859.5
1.0933	604.1	1851.4	2852.7
1.0972	663.8	1874.2	2847.9
1.1031	720.2	1865.2	2869.4
1.1063	863.7	1868.2	2890
1.1096	917.2	1951.4	2827.4
1.1135	989.2	1948.2	2834.2
1.1181	1191.3	1991.4	2855.3
1.122	1175.6	1969.8	2827.8
1.1265	1338	2014.4	2874.3
1.1298	1397.4	2081.4	2838.5
1.1337	1616.3	2152.6	2850.6
1.1383	1710.3	2137.2	2843.2
1.1415	1763.2	2190	2852.8
1.1454	1949.7	2241.2	2850.1
1.15	2152.7	2349.2	2833.1
1.1539	2182.1	2292	2839.2
1.1578	2454.1	2422.8	2849.9
1.1611	2520.9	2535	2867.2
1.1656	2735.7	2449.4	2859.7
1.1695	2866.1	2549.6	2837
1.1734	2923.9	2539.8	2847
1.1774	3122.8	2616	2830.6
1.1813	3408.6	2666	2837.6
1.1852	3421.4	2628	2868
1.1891	3455.6	2760.8	2843.8
1.193	3614.7	2865.4	2841.6
1.1976	3950.2	2997.6	2836.3
1.2008	4000.6	3083.8	2863.5
1.2047	4167.9	3182.4	2842.3
1.2093	4313.9	3215.8	2838.8
1.2132	4189.1	3232	2856.3
1.2171	4435.1	3290.2	2839
1.2217	4551.1	3353.2	2840.5
1.2249	4740	3366.2	2858.2
1.2288	4831.5	3410.6	2859.9
1.2334	4877.5	3380	2868.8
1.2367	4937.5	3475.4	2830.9
1.2412	5005	3517.2	2851
1.2438	5067.4	3541.6	2834.7
1.249	5051.1	3561	2873.6
1.253	5135.5	3581.8	2881.4
1.2562	5159.8	3561.4	2834.4
1.2595	5217.9	3636.4	2860.1
1.264	5174.6	3710	2857.8
1.2679	5204.6	3740.2	2841.6
1.2732	5195.4	3715.8	2843.5
1.2764	5170.1	3753.6	2851.9
1.2797	5190	3791.6	2808.8
1.2842	5185	3721.6	2830.8
1.2875	5073.7	3811	2828.7
1.2914	5084.5	3769.4	2823.5
1.296	4998	3809.4	2830.5
1.3005	4904.4	3751	2819.8
1.3038	4879	3785.2	2823.9
1.307	4714.5	3808	2821.5
1.311	4610.5	3798.4	2816.7
1.3168	4526.3	3771	2822.3
1.3188	4504.4	3778.4	2842.2
1.3233	4346.5	3730	2814.4
1.3266	4280.7	3718.6	2833.7
1.3325	4041.1	3646.2	2841.6
1.3357	3958.3	3741	2819.8
1.339	3732.2	3690.8	2799.9
1.3429	3664.4	3648.8	2802.6
1.3481	3525.3	3621.4	2839.2
1.3507	3438.5	3586.8	2797.7
1.3546	3151.8	3537	2808.9
1.3592	3253.4	3427.4	2804.1
1.3624	3115.6	3465	2800.9
1.367	2866.3	3508.2	2822.9
1.3716	2740.7	3500.8	2830.9
1.3748	2435.5	3364.4	2827.1
1.38	2357.5	3338.2	2832.3
1.3826	2301.3	3193.4	2816.1
1.3866	2063.7	3158.8	2822.4
1.3918	1914.4	3107.4	2848.3
1.3937	1863.1	3066.4	2823.9
1.3983	1689.3	3017.2	2783.9
1.4028	1483.5	2920.8	2836.6
1.4074	1353	2875.2	2829.2
1.4107	1320.9	2719.8	2818.6
1.4146	1162.9	2728.8	2792.5
1.4185	1157.4	2734.6	2801.2
1.423	1052.7	2744.6	2826.9
1.4263	906.6	2691.6	2828.7
1.4302	775	2649.8	2829
1.4348	768.5	2569.4	2826.7
1.438	711.2	2524.6	2791.5
1.4419	648.1	2375.2	2836.1
1.4459	628.8	2433.8	2826.2
1.4498	579.6	2190.4	2831.1
1.4543	536.5	2219.6	2815.5
1.4576	505.2	2239.2	2834.6
1.4615	510.6	2118	2831.1
1.4661	499.9	2113.8	2817.1
1.47	510.5	2082.6	2826.6
1.4732	521.7	2046.8	2819.2
1.4771	564.5	2029	2857
1.481	583.3	2016	2846.6
1.4856	624.5	1964.8	2810.4
1.4889	686.7	1928	2824.8
1.4928	778	1895.6	2816.8
1.4967	792.3	1871.2	2810.5
1.4999	865.4	1852.6	2826.8
