# Quantum-Optic: Experiments with single photons
# Experiment: Entangled at a polarized 50% beam splitter
# measure from 25.04.2008 14:05
# measurement time for each data point: 10s
# Lab-user: P. Bronner
 



# With entanglement

# angle A; angle B; ATBT; ARBR; ATBR; ARBT; time
22,5;	22,5;	2207,0;	2314,0;	88,0;	47,0;	10,0
22,5;	22,5;	2199,0;	2252,0;	97,0;	53,0;	10,0
22,5;	22,5;	2305,0;	2216,0;	86,0;	43,0;	10,0
22,5;	22,5;	2198,0;	2202,0;	77,0;	40,0;	10,0
22,5;	22,5;	2314,0;	2248,0;	72,0;	44,0;	10,0
22,5;	22,5;	2169,0;	2293,0;	100,0;	40,0;	10,0
22,5;	22,5;	2157,0;	2201,0;	92,0;	55,0;	10,0
22,5;	22,5;	2300,0;	2242,0;	94,0;	47,0;	10,0
22,5;	22,5;	2202,0;	2207,0;	94,0;	54,0;	10,0
22,5;	22,5;	2195,0;	2241,0;	80,0;	41,0;	10,0
22,5;	22,5;	2297,0;	2177,0;	61,0;	56,0;	10,0
22,5;	22,5;	2214,0;	2205,0;	93,0;	55,0;	10,0
22,5;	22,5;	2239,0;	2265,0;	85,0;	43,0;	10,0
22,5;	22,5;	2263,0;	2234,0;	79,0;	44,0;	10,0
22,5;	22,5;	2206,0;	2231,0;	86,0;	44,0;	10,0
22,5;	22,5;	2211,0;	2285,0;	79,0;	33,0;	10,0
22,5;	22,5;	2281,0;	2239,0;	92,0;	49,0;	10,0
22,5;	22,5;	2229,0;	2294,0;	90,0;	42,0;	10,0
22,5;	22,5;	2186,0;	2152,0;	96,0;	31,0;	10,0
22,5;	22,5;	2337,0;	2235,0;	74,0;	43,0;	10,0
22,5;	22,5;	2318,0;	2201,0;	85,0;	41,0;	10,0
22,5;	22,5;	2272,0;	2182,0;	94,0;	42,0;	10,0
22,5;	22,5;	2093,0;	2282,0;	82,0;	65,0;	10,0
22,5;	22,5;	2217,0;	2225,0;	87,0;	50,0;	10,0

# OHNE VERSCHRÄNKUNGSKRISTALL:

# Winkel WP A; Winkel WP B; ATBT; ARBR; ATBR; ARBT; Messzeit

22,5;	22,5;	989,0;	1227,0;	1089,0;	1190,0;	10,0
22,5;	22,5;	1044,0;	1213,0;	1102,0;	1168,0;	10,0
22,5;	22,5;	1001,0;	1194,0;	1184,0;	1209,0;	10,0
22,5;	22,5;	1026,0;	1172,0;	1142,0;	1167,0;	10,0
22,5;	22,5;	980,0;	1110,0;	1115,0;	1179,0;	10,0
22,5;	22,5;	1035,0;	1192,0;	1186,0;	1170,0;	10,0
22,5;	22,5;	1041,0;	1169,0;	1122,0;	1153,0;	10,0
22,5;	22,5;	1065,0;	1194,0;	1157,0;	1154,0;	10,0
22,5;	22,5;	984,0;	1221,0;	1071,0;	1133,0;	10,0
22,5;	22,5;	1051,0;	1194,0;	1191,0;	1250,0;	10,0
22,5;	22,5;	1001,0;	1178,0;	1189,0;	1157,0;	10,0
22,5;	22,5;	1018,0;	1144,0;	1159,0;	1190,0;	10,0
22,5;	22,5;	1027,0;	1189,0;	1171,0;	1109,0;	10,0
22,5;	22,5;	1062,0;	1139,0;	1144,0;	1167,0;	10,0
22,5;	22,5;	971,0;	1166,0;	1114,0;	1093,0;	10,0
22,5;	22,5;	1007,0;	1249,0;	1108,0;	1154,0;	10,0
22,5;	22,5;	1101,0;	1192,0;	1135,0;	1147,0;	10,0
22,5;	22,5;	1008,0;	1195,0;	1161,0;	1160,0;	10,0
22,5;	22,5;	1076,0;	1170,0;	1195,0;	1084,0;	10,0
22,5;	22,5;	993,0;	1162,0;	1096,0;	1142,0;	10,0
22,5;	22,5;	1078,0;	1187,0;	1110,0;	1145,0;	10,0
22,5;	22,5;	1033,0;	1151,0;	1195,0;	1176,0;	10,0
22,5;	22,5;	1045,0;	1199,0;	1168,0;	1172,0;	10,0
22,5;	22,5;	998,0;	1204,0;	1178,0;	1104,0;	10,0
22,5;	22,5;	1002,0;	1193,0;	1076,0;	1145,0;	10,0
22,5;	22,5;	1014,0;	1131,0;	1131,0;	1096,0;	10,0
22,5;	22,5;	1011,0;	1172,0;	1142,0;	1113,0;	10,0
22,5;	22,5;	1032,0;	1216,0;	1182,0;	1116,0;	10,0
22,5;	22,5;	1114,0;	1199,0;	1149,0;	1143,0;	10,0
22,5;	22,5;	1000,0;	1219,0;	1165,0;	1155,0;	10,0
22,5;	22,5;	1047,0;	1214,0;	1157,0;	1123,0;	10,0
22,5;	22,5;	970,0;	1221,0;	1165,0;	1159,0;	10,0
22,5;	22,5;	1004,0;	1204,0;	1096,0;	1161,0;	10,0
22,5;	22,5;	1067,0;	1213,0;	1163,0;	1148,0;	10,0
22,5;	22,5;	978,0;	1115,0;	1116,0;	1185,0;	10,0
22,5;	22,5;	1014,0;	1148,0;	1130,0;	1174,0;	10,0
22,5;	22,5;	980,0;	1151,0;	1184,0;	1141,0;	10,0
22,5;	22,5;	1020,0;	1147,0;	1210,0;	1199,0;	10,0
22,5;	22,5;	1089,0;	1219,0;	1101,0;	1118,0;	10,0
22,5;	22,5;	1005,0;	1195,0;	1098,0;	1216,0;	10,0
22,5;	22,5;	1049,0;	1166,0;	1173,0;	1177,0;	10,0
22,5;	22,5;	996,0;	1161,0;	1228,0;	1150,0;	10,0
22,5;	22,5;	1010,0;	1166,0;	1197,0;	1180,0;	10,0
22,5;	22,5;	1000,0;	1228,0;	1115,0;	1175,0;	10,0
22,5;	22,5;	1034,0;	1149,0;	1125,0;	1136,0;	10,0
22,5;	22,5;	1034,0;	1203,0;	1085,0;	1159,0;	10,0
22,5;	22,5;	992,0;	1197,0;	1194,0;	1172,0;	10,0
22,5;	22,5;	1045,0;	1181,0;	1167,0;	1135,0;	10,0
22,5;	22,5;	1021,0;	1157,0;	1117,0;	1091,0;	10,0
22,5;	22,5;	992,0;	1194,0;	1114,0;	1147,0;	10,0
22,5;	22,5;	986,0;	1158,0;	1248,0;	1114,0;	10,0
22,5;	22,5;	1058,0;	1162,0;	1120,0;	1152,0;	10,0
22,5;	22,5;	989,0;	1194,0;	1158,0;	1136,0;	10,0
22,5;	22,5;	1020,0;	1188,0;	1125,0;	1140,0;	10,0
22,5;	22,5;	1011,0;	1209,0;	1138,0;	1217,0;	10,0
22,5;	22,5;	1067,0;	1129,0;	1185,0;	1186,0;	10,0
22,5;	22,5;	1045,0;	1188,0;	1133,0;	1128,0;	10,0
22,5;	22,5;	951,0;	1206,0;	1154,0;	1150,0;	10,0
22,5;	22,5;	1035,0;	1164,0;	1106,0;	1153,0;	10,0
22,5;	22,5;	1080,0;	1115,0;	1129,0;	1156,0;	10,0
22,5;	22,5;	1009,0;	1210,0;	1075,0;	1192,0;	10,0
22,5;	22,5;	1025,0;	1171,0;	1168,0;	1109,0;	10,0
22,5;	22,5;	995,0;	1200,0;	1252,0;	1217,0;	10,0
22,5;	22,5;	1016,0;	1247,0;	1167,0;	1145,0;	10,0
22,5;	22,5;	1002,0;	1261,0;	1147,0;	1127,0;	10,0
22,5;	22,5;	1044,0;	1184,0;	1182,0;	1139,0;	10,0
22,5;	22,5;	1054,0;	1156,0;	1196,0;	1139,0;	10,0
22,5;	22,5;	1041,0;	1168,0;	1164,0;	1251,0;	10,0
22,5;	22,5;	1004,0;	1203,0;	1183,0;	1117,0;	10,0
22,5;	22,5;	1042,0;	1153,0;	1150,0;	1104,0;	10,0
22,5;	22,5;	1058,0;	1166,0;	1110,0;	1156,0;	10,0
