2	999	565	441
4	980	551	463
7	966	547	467
9	927	566	465
11	921	573	464
14	887	565	482
17	888	571	458
20	822	549	482
22	811	564	475
25	780	561	465
28	741	574	455
31	734	552	439
35	668	550	437
38	658	567	422
41	611	551	396
45	563	562	381
48	534	552	361
52	511	539	352
54	478	557	325
58	412	558	298
63	384	560	276
66	356	550	263
69	301	554	235
74	277	553	223
78	241	560	187
82	213	551	174
86	185	560	151
90	142	558	125
94	123	557	123
98	88	553	98
101	75	549	82
105	62	555	62
110	47	550	48
114	39	544	35
118	18	554	26
123	11	557	17
126	8	542	10
131	8	545	7
135	10	560	4
139	15	550	3
143	20	545	6
148	34	549	9
152	44	539	14
157	74	554	23
160	91	536	30
166	96	539	40
169	134	544	58
174	168	533	73
178	191	548	84
182	226	553	99
187	257	544	116
192	301	536	144
196	339	557	160
201	375	538	173
205	408	543	206
210	440	548	219
214	530	549	226
219	562	556	262
223	610	546	278
227	658	543	309
232	683	544	329
236	713	542	347
241	770	556	372
246	829	541	379
251	863	547	396
255	887	553	438
260	926	544	437
265	985	555	438
270	1013	552	473
274	1044	542	462
280	1056	551	474
283	1125	544	470
288	1138	550	478
292	1155	540	476
297	1194	547	479
302	1227	548	478
307	1211	549	481
311	1231	554	459
316	1234	548	447
320	1261	560	438
325	1232	556	433
331	1229	552	428
334	1234	561	410
339	1209	560	381
345	1206	573	367
349	1197	564	350
354	1178	562	324
358	1176	559	297
363	1140	569	286
369	1106	563	266
374	1067	552	251
378	1030	550	219
383	1001	553	197
388	976	569	171
392	935	550	150
397	892	558	139
402	840	550	113
407	784	554	106
412	777	565	78
417	728	553	64
422	670	563	48
426	612	551	39
432	562	567	27
436	536	558	18
442	495	533	9
446	445	565	6
451	381	538	5
456	341	549	4
461	317	561	7
466	278	552	8
470	247	555	18
475	199	566	25
481	184	556	40
485	140	553	48
490	126	546	62
495	102	555	78
500	83	555	93
505	59	553	116
509	33	565	125
515	21	552	154
520	11	544	168
524	6	552	189
530	6	542	215
533	8	546	251
539	16	544	270
545	25	540	277
550	36	550	309
554	47	553	321
560	74	549	350
565	89	541	359
570	120	534	399
574	140	543	396
580	175	555	409
584	214	544	443
590	261	555	434
594	284	544	461
599	335	544	476
605	389	534	483
610	431	532	476
615	498	547	486
620	541	543	481
625	590	542	476
630	649	555	471
636	680	544	464
640	726	543	454
646	762	549	448
651	828	554	439
656	859	554	415
661	924	538	401
666	945	548	386
671	993	554	375
676	1033	545	347
681	1065	547	342
686	1087	553	310
691	1113	553	286
696	1147	542	259
701	1161	545	246
707	1189	548	216
712	1212	552	208
716	1207	550	176
722	1216	557	153
728	1233	581	128
732	1238	544	104
737	1234	561	93
742	1234	553	82
749	1227	561	65
752	1215	548	54
758	1198	554	34
764	1182	570	26
768	1142	560	17
772	1136	562	9
778	1078	552	8
784	1073	561	4
788	1026	568	6
794	988	555	5
799	953	549	11
805	916	552	20
810	856	554	27
814	822	562	38
820	755	550	50
825	722	548	66
829	697	555	81
834	607	563	96
840	555	547	113
846	532	570	148
850	496	561	163
856	436	555	179
861	379	550	194
866	358	550	221
871	301	556	249
876	273	542	270
882	215	554	289
887	185	547	312
892	155	560	335
897	116	551	349
902	86	545	381
909	68	550	388
