658	1641	1061	1078
642	1646	1102	1103
663	1712	1065	1145
669	1592	1173	1075
625	1565	1143	1127
672	1641	1041	1117
686	1630	1173	1036
685	1605	1139	1144
645	1596	1114	1078
658	1643	1082	1122
631	1604	1109	1118
686	1586	1108	1098
646	1628	1060	1158
633	1558	1053	1117
668	1643	1100	1117
630	1637	1068	1039
687	1638	1060	1124
684	1599	1087	1128
661	1636	1125	1125
634	1585	1091	1076
662	1480	1062	1069
655	1687	1114	1078
656	1679	1090	1086
633	1668	1103	1098
658	1562	1119	1096
666	1685	1070	1096
638	1589	1107	1112
708	1655	1103	1074
672	1662	1059	1070
721	1600	1053	1087
642	1660	1049	1106
671	1551	1053	1055
650	1464	1075	1091
636	1588	1073	1154
664	1520	1078	1112
686	1625	1067	1122
657	1616	1072	1061
711	1552	1035	1124
662	1666	1109	1116
648	1544	1131	1072
693	1599	1079	1058
668	1663	1060	1102
656	1557	1106	1089
654	1668	1083	1078
736	1606	1033	1091
678	1620	1118	1103
664	1612	1046	1163
703	1611	1057	1034
711	1554	1118	1061
