# Quantenoptiklabor: Experiment Hong-Ou-Mandel dip
# Messung vom 27.06.2008, 13:39 Uhr
# Aufnahme von 280 Schritten in 1ym Abstand (optischer Weg = 2ym)
# Messung: 10 mal für 10s
# Der Datensatz aus dem Experiment kann z.B. zum Auswerten in Excel importiert werden

 
# Didaktik der Physik, Universität Erlangen


#Achsenbeschriftung:
# Wegposition [mm]; 	Detektor 1;	Stabw D1; 	Detektor 2;	Stabw D2; 	Koinzidenzen; 	Stabw Koinz




27,95398    ;   113669,90000    ;   326,97654    ;   110667,50000    ;   237,82685    ;   2495,10000    ;   39,81750
27,95496    ;   113827,60000    ;   269,65377    ;   110448,90000    ;   283,92270    ;   2483,20000    ;   49,05054
27,95597    ;   113348,40000    ;   399,81251    ;   110301,50000    ;   379,57381    ;   2468,30000    ;   58,38579
27,95695    ;   113306,10000    ;   326,75014    ;   110122,70000    ;   452,87257    ;   2463,10000    ;   24,42426
27,95797    ;   113323,20000    ;   505,71903    ;   110274,20000    ;   893,71793    ;   2476,00000    ;   57,14310
27,95902    ;   114259,20000    ;   2098,2732    ;   111242,00000    ;   2702,4868    ;   2467,20000    ;   51,91831
27,95992    ;   113198,30000    ;   386,90885    ;   109954,10000    ;   288,48164    ;   2477,40000    ;   62,12568
27,96098    ;   113269,50000    ;   326,25935    ;   110101,00000    ;   297,42002    ;   2493,80000    ;   56,02142
27,96195    ;   113469,60000    ;   363,52020    ;   110084,70000    ;   533,03868    ;   2499,70000    ;   51,65925
27,96297    ;   113403,30000    ;   280,82539    ;   110248,70000    ;   336,75677    ;   2458,50000    ;   47,90326
27,96395    ;   113519,90000    ;   271,68260    ;   110158,50000    ;   460,53067    ;   2465,90000    ;   35,92106
27,96497    ;   113605,80000    ;   294,22659    ;   110304,10000    ;   290,58273    ;   2482,10000    ;   38,41426
27,96598    ;   113585,60000    ;   354,89629    ;   110234,90000    ;   254,91369    ;   2491,00000    ;   55,35943
27,96700    ;   113580,10000    ;   314,55946    ;   110391,20000    ;   295,18085    ;   2459,20000    ;   43,37383
27,96794    ;   113843,90000    ;   298,43162    ;   110410,50000    ;   369,53432    ;   2490,20000    ;   34,88967
27,96895    ;   113679,00000    ;   317,90844    ;   110367,90000    ;   285,98735    ;   2471,90000    ;   44,15239
27,96997    ;   113667,00000    ;   391,02628    ;   110379,50000    ;   404,79714    ;   2465,00000    ;   42,02116
27,97095    ;   113742,00000    ;   197,28378    ;   110431,60000    ;   379,48655    ;   2487,00000    ;   72,18187
27,97196    ;   113850,20000    ;   343,98185    ;   110407,30000    ;   337,34158    ;   2474,20000    ;   44,33409
27,97294    ;   113895,90000    ;   309,66521    ;   110424,60000    ;   425,48696    ;   2505,50000    ;   39,48628
27,97396    ;   113902,10000    ;   272,83957    ;   110338,20000    ;   246,10332    ;   2489,30000    ;   41,17456
27,97498    ;   113876,00000    ;   415,06599    ;   110538,40000    ;   267,18001    ;   2463,90000    ;   51,44890
27,97595    ;   114126,10000    ;   390,77144    ;   110418,00000    ;   313,72741    ;   2492,30000    ;   72,46309
27,97701    ;   114097,50000    ;   252,24778    ;   110445,90000    ;   197,05693    ;   2488,40000    ;   40,32149
27,97795    ;   114013,20000    ;   221,76053    ;   110602,00000    ;   391,69773    ;   2482,60000    ;   56,31104
27,97896    ;   113972,20000    ;   352,63195    ;   110703,90000    ;   299,85828    ;   2482,80000    ;   52,71264
27,97994    ;   114051,20000    ;   412,39620    ;   110573,40000    ;   143,16440    ;   2445,90000    ;   35,59167
