0	1084	1093	0	0
13	2360	2096	0	0
27	6492	5819	0	0
39	12339	11528	0	0
52	20121	19557	0	0
65	30042	28614	0	0
77	42112	41309	0	0
93	57704	55885	2	1298
106	76834	74982	1	363
119	91924	90457	1	252
132	105399	104209	6	1144
146	119457	117646	9	1341
158	128452	126417	3	387
169	143745	141761	12	1234
185	156029	155612	4	345
199	166902	165455	10	758
212	174926	173649	18	1240
227	178199	177267	7	463
241	180649	179003	14	906
254	180208	179587	12	776
267	177225	177908	17	1129
282	171093	171913	11	782
298	162282	162978	13	1027
308	151489	152148	14	1270
321	144923	145557	14	1388
334	136662	138023	12	1331
348	125928	126318	6	789
361	118404	118455	6	895
374	111048	111431	2	339
387	101151	102226	6	1216
400	92820	94007	3	721
412	77156	78302	1	347
428	61925	62638	0	0
441	52063	53239	1	756
455	46861	47873	2	1869
467	40662	41358	0	0
480	32748	33455	0	0
494	27411	28597	0	0
506	22493	24009	0	0
519	17930	19328	0	0
532	12115	12788	0	0
546	7501	8024	0	0
560	3617	3828	0	0
573	1042	1098	0	0
588	1237	1049	0	0
602	4470	3857	0	0
617	10124	9397	0	0
630	20137	19246	0	0
645	32113	30864	0	0
660	44146	42755	1	1109
673	57889	56691	1	639
686	66721	65543	0	0
700	79751	78096	7	2355
713	91633	89685	3	765
727	101452	99921	5	1034
740	109516	106814	5	896
755	116963	114994	11	1714
769	127070	125113	5	659
782	137758	136344	9	1005
796	145292	143532	5	503
809	153345	153355	8	713
825	163857	162626	13	1023
838	172288	170946	15	1067
854	176557	176879	10	671
867	179838	179046	13	845
881	180886	179072	8	517
894	180336	180165	9	581
907	179059	178542	9	590
923	177696	177286	7	466
936	174067	173765	13	901
949	168020	167278	12	895
965	160493	160500	5	407
978	154900	155741	10	869
991	145332	146871	6	589
1005	133351	133531	6	706
1019	116931	118301	2	303
1034	95340	96819	3	680
1048	80620	81975	6	1901
1062	68253	68902	1	446
1075	56737	57996	2	1275
1090	48191	49183	0	0
1101	35681	36843	0	0
1117	21464	22445	0	0
1131	9029	9823	0	0
1147	2718	3055	0	0
1161	904	892	0	0
1176	3230	2925	0	0
1190	8813	8253	0	0
1203	19283	18463	0	0
1219	33633	32347	0	0
1233	42927	41217	1	1184
1246	53025	51456	2	1537
1259	59604	59223	3	1784
1273	72052	70400	1	414
1289	85761	83127	0	0
1302	97247	95527	2	452
1316	111113	109198	6	1040
1331	126090	123630	4	540
1345	138039	135342	3	338
1359	145730	143786	10	1003
1371	152390	150268	9	826
1384	161986	160146	8	648
1400	171761	169728	10	722
1414	176305	174826	15	1024
1429	179250	177865	9	594
1443	180157	179339	13	847
1457	179090	178979	10	657
1472	176340	176261	17	1152
1486	166562	166097	13	989
1500	152991	152215	2	181
1515	139056	139325	8	871
1529	125013	125887	3	402
1543	103628	104133	4	781
1559	76746	78303	2	701
1575	59324	60497	0	0
1588	35927	37279	0	0
1603	20330	21189	0	0
1618	6804	7333	0	0
1633	2015	2212	0	0
1648	1527	1379	0	0
1663	6671	5949	0	0
1677	16905	15825	0	0
1693	29785	29151	0	0
1707	45897	44771	0	0
1722	64808	63236	4	2054
1737	79031	77411	3	1032
1752	90989	89101	3	779
1766	104800	103378	4	778
1779	117863	115779	3	464
1795	134772	132320	11	1301
1809	148849	147101	6	578
1823	158457	157018	7	593
1836	165581	163890	13	1010
1853	174245	172391	7	492
1868	176333	175045	11	752
1883	172116	171169	16	1145
1896	158183	159124	2	168
1911	140506	140712	5	533
1926	119042	119803	7	1035
1941	103431	104245	7	1370
1956	89904	90470	2	519
1972	68278	69075	3	1343
1985	46045	47181	0	0
1999	25722	26924	0	0
2016	12341	12873	0	0

