0	33
7	40
15	64
21	93
30	168
38	224
44	333
52	462
60	617
66	777
74	931
81	1161
89	1344
96	1508
104	1750
110	1987
119	2245
126	2299
134	2614
141	2760
149	2953
156	3102
164	3184
171	3307
179	3399
186	3521
194	3571
201	3658
208	3632
214	3687
223	3641
231	3593
237	3537
245	3418
253	3351
260	3207
267	3121
274	2998
281	2893
290	2675
296	2441
304	2238
312	2008
320	1758
326	1547
334	1407
341	1199
349	1022
356	895
363	684
371	609
377	525
386	327
394	192
399	138
407	63
415	36
421	33
429	33
437	75
444	145
452	189
459	336
466	414
474	528
481	735
489	897
496	1122
503	1217
511	1479
518	1630
525	1948
532	1971
540	2274
547	2479
554	2617
561	2839
568	2971
576	3132
583	3235
590	3361
599	3489
606	3545
613	3607
620	3670
629	3686
636	3699
642	3653
650	3591
658	3503
665	3461
672	3321
679	3219
686	3069
693	2890
701	2665
708	2468
715	2384
722	2131
731	1907
737	1800
744	1620
752	1483
759	1271
766	979
773	831
779	613
787	477
794	330
802	249
809	175
817	133
823	62
832	27
838	19
845	47
853	88
860	171
867	178
876	275
882	385
889	467
896	661
904	803
910	1013
918	1143
925	1364
933	1535
940	1814
947	2007
953	2128
961	2384
968	2525
974	2814
982	2852
989	2945
997	3164
1004	3375
1011	3421
1019	3505
1026	3566
1033	3667
1039	3658
1046	3691
1054	3689
1061	3648
1069	3586
1077	3549
1083	3344
1090	3274
1097	3095
1104	2949
1111	2838
1119	2647
1126	2568
1132	2284
1140	2153
1148	2041
1155	1771
1162	1503
1168	1325
1176	1228
1183	1056
1190	762
1197	648
1205	544
1211	431
1219	248
1226	190
1233	139
1239	69
1247	28
1254	14
1262	16
1269	52
1276	99
1283	160
1289	289
1297	413
