# Quantenoptiklabor: Experiment Interferenz und Energiekorrelation
# Messung vom 28.09.2008, 08:15 Uhr
# Datenaufnahme: Pro Datenpunkt 10 Messungen mit 1s: Mittelwert und Standardabweichung
# Didaktik der Physik, Universität Erlangen
# Lab-User: P. Bronner

#Aufnahme der Koinzidenzen von Trigger&Transmittiert + Trigger&Reflektiert

#Achsenbeschriftung:
# Weg [nm]	Einzelereignisse [Hz]	Stab Einzel [Hz]	Koinz [Hz]	Stab Koinz [Hz]

4769	28768,7	173,8	3107,4	80,6
4778	28513,4	225,2	3064,5	66,8
4787	28097,2	148,5	3038,0	57,1
4797	27776,6	160,1	2948,7	52,6
4806	27533,2	154,6	2927,6	53,2
4815	27226,3	200,8	2768,2	63,1
4824	27047,2	236,6	2646,1	86,0
4832	26870,6	156,9	2532,7	40,2
4842	26675,7	86,6	2395,0	45,8
4851	26578,9	167,9	2307,8	94,5
4860	26520,3	110,8	2035,0	89,9
4869	26568,2	168,0	1980,1	31,6
4878	26573,5	159,0	1758,8	67,4
4887	26606,7	148,7	1649,0	87,4
4896	26781,3	134,0	1465,8	82,8
4905	26933,2	125,2	1282,1	79,2
4914	27083,8	192,5	1172,1	50,7
4923	27385,6	221,5	1060,0	40,6
4933	27636,9	114,6	926,4	48,0
4941	27881,5	162,1	830,4	42,5
4950	28327,2	124,5	742,0	26,7
4959	28494,4	110,3	698,8	18,4
4967	28950,7	149,0	673,0	24,9
4977	29079,6	172,9	668,5	26,9
4986	29328,9	234,0	654,5	22,0
4995	29625,5	231,2	704,0	39,0
5003	29937,0	236,9	762,6	28,8
5013	30329,9	188,7	855,6	39,6
5022	30491,4	190,2	884,2	43,2
5032	30652,1	155,7	1016,9	25,2
5040	30881,1	155,0	1125,3	29,2
5049	30897,6	151,8	1273,5	55,1
5059	31116,6	125,0	1472,4	29,8
5067	31091,7	164,2	1654,7	105,9
5076	31078,0	201,5	1787,0	60,1
5085	31142,4	150,8	1945,0	76,5
5094	31053,0	240,5	2140,6	99,7
5103	30909,1	255,0	2262,7	48,0
5113	30570,4	138,0	2441,1	71,1
5122	30511,2	216,3	2592,1	82,1
5131	30369,4	165,8	2708,3	75,1
5140	30262,8	211,4	2791,4	64,3
5148	30043,7	221,4	2882,5	82,0
5158	29759,1	268,1	2970,3	63,2
5167	29283,2	254,4	3080,6	49,4
5175	29190,8	187,1	3086,3	63,3
5184	28697,8	178,3	3152,5	42,3
5194	28405,8	183,6	3122,7	52,4
5202	28181,2	149,9	3113,6	46,4
5211	27785,0	139,9	3056,7	45,2
5221	27662,1	310,1	2998,6	55,8
5229	27306,1	163,6	2922,8	44,9
5239	27283,7	123,5	2833,7	72,9
5248	27071,3	158,2	2716,8	65,6
5256	26865,1	118,0	2561,8	76,9
5265	26737,4	105,1	2377,2	57,1
5275	26773,5	239,8	2283,7	130,3
5283	26882,1	172,9	2106,5	106,1
5292	26831,6	180,9	1931,8	75,3
5302	26880,3	186,0	1797,8	25,5
5311	26988,9	203,5	1627,2	57,9
5319	27121,9	151,6	1431,6	89,3
5328	27370,1	218,1	1307,8	40,3
5337	27455,0	209,3	1229,9	40,7
5346	27614,0	130,4	1126,5	63,4
5356	27853,2	122,2	974,2	41,5
5364	28288,4	159,7	846,4	26,5
5374	28540,4	147,4	745,9	32,9
5382	28929,9	279,7	688,9	42,3
5392	29125,9	191,9	638,7	29,4
5401	29412,6	127,1	628,0	17,9
5410	29679,5	133,4	635,4	32,5
5419	29893,5	213,5	664,5	28,3
5428	30210,3	205,1	749,6	39,6
5437	30537,5	153,6	823,6	35,7
5446	30493,8	189,5	899,0	48,7
5455	30681,5	215,5	952,2	53,2
5464	30738,5	186,2	1135,8	44,3
5474	30714,4	170,7	1289,3	54,9
5482	30851,9	124,4	1367,8	63,6
5491	30786,8	114,5	1502,5	50,1
5500	30826,6	153,7	1729,5	70,0
5509	30763,1	205,0	1890,7	88,7
5519	30567,5	217,9	2134,1	79,2
5527	30538,8	215,4	2254,8	93,5
5536	30395,1	216,6	2403,3	74,8
5546	30144,8	243,4	2530,0	84,1
5554	29982,8	144,8	2689,1	35,7
5563	29721,7	233,6	2736,6	65,4
5573	29554,2	184,5	2875,7	58,6
5582	29173,7	144,1	2991,8	55,5
5590	28949,9	219,0	3055,5	51,3
5599	28641,4	163,9	3115,4	64,7
5608	28346,5	128,8	3171,0	41,0
5618	27984,4	167,0	3140,8	50,0
5626	27934,2	156,4	3143,4	43,9
5636	27761,8	164,5	3085,6	79,1
5645	27421,9	118,0	3016,5	60,3
5654	27294,5	193,8	2925,4	38,6
5663	27245,3	249,2	2858,3	74,6
5672	27190,4	164,9	2769,6	56,0
5682	27054,2	140,2	2589,1	91,1
5690	26966,2	127,9	2501,7	78,0
5698	27153,8	225,6	2332,7	87,2
5708	27212,2	110,7	2185,3	70,8
5717	27243,3	108,9	1908,8	53,8
5726	27341,7	181,5	1814,1	93,4
5736	27474,7	187,3	1540,8	44,7
5745	27683,4	154,5	1462,6	70,7
5753	27953,0	49,0	1311,9	46,9
5762	28161,2	188,8	1158,2	76,9
5771	28367,6	153,7	979,6	53,6
5780	28612,5	105,3	869,2	43,2
5790	28887,0	207,3	809,3	22,7
5798	29153,3	226,2	715,7	33,6
5808	29340,5	222,0	660,3	22,5
5816	29456,8	113,0	602,6	15,8
5826	29766,2	206,7	593,3	26,0
5835	29845,5	152,8	618,2	27,3
5844	30012,4	233,7	621,4	29,5
5853	30214,5	160,1	701,0	27,9
5861	30291,9	167,7	757,5	41,7
5871	30359,6	155,7	848,6	39,4
5880	30453,2	163,7	936,8	37,5
5888	30428,6	118,9	1098,2	62,3
5898	30459,4	184,7	1219,6	79,3
5906	30425,5	235,5	1295,8	73,2
5916	30429,5	199,2	1578,1	106,0
5925	30317,4	102,2	1710,1	71,1
5934	30284,2	206,3	1880,1	66,8
5943	30037,6	169,1	2025,7	64,8
5952	29857,5	196,4	2208,7	110,8
5961	29764,4	129,7	2384,7	49,7
5970	29532,6	173,9	2648,1	80,1
5979	29446,0	115,0	2705,0	108,6
5988	29114,6	140,8	2830,1	53,1
5998	28917,4	192,7	2926,7	67,4
6006	28646,4	163,7	3029,9	49,7
6015	28554,0	176,6	3081,1	69,3
6024	28238,3	157,6	3156,3	56,6
6033	28088,2	174,9	3210,7	47,3
6042	27973,2	144,6	3191,5	48,3
6051	27733,3	244,4	3133,7	39,1
6061	27556,7	237,0	3138,2	35,1
6069	27646,3	151,6	3123,5	49,1
6078	27567,4	92,6	3013,0	46,9
6088	27632,6	133,0	2951,9	67,3
6096	27468,2	128,5	2835,2	72,1
6105	27519,9	222,1	2639,5	65,8
6114	27514,5	182,7	2529,3	90,6
6123	27590,6	118,2	2412,6	76,8
6133	27651,7	180,8	2181,2	77,0
6142	27862,9	175,7	2000,0	59,2
6150	28158,0	82,6	1856,4	83,8
6160	28212,5	200,7	1645,0	49,4
6168	28431,5	183,6	1540,7	88,1
6177	28552,5	180,7	1413,2	66,9
6186	28692,7	170,8	1222,0	58,3
6195	29022,3	187,8	1044,0	65,9
6204	29155,5	235,7	934,8	54,0
6213	29351,1	166,2	792,8	50,8
6222	29499,6	147,4	742,1	41,3
6231	29631,8	164,4	636,7	47,5
6241	29887,2	192,0	593,1	26,7
6249	30007,9	214,5	574,0	33,1
6258	30009,4	178,0	570,8	23,3
6267	30063,6	219,8	590,6	23,6
6277	30078,7	186,5	630,5	40,0
6285	30118,9	205,9	707,6	25,0
6293	30182,7	247,6	808,8	40,3
6303	30066,9	177,0	908,9	91,0
6312	30050,5	195,8	1064,9	37,8
6321	29995,4	87,2	1180,3	33,1
6331	29962,8	156,8	1305,4	63,3
6340	29801,5	213,5	1479,9	90,6
6348	29580,2	125,1	1603,5	60,7
6357	29602,5	219,9	1811,0	98,9
6366	29367,7	122,0	1970,4	61,6
6375	29128,1	128,8	2184,5	54,2
6384	29059,4	108,1	2331,5	54,4
6393	28771,6	232,9	2502,5	37,6
6403	28726,2	184,0	2657,1	79,9
6412	28577,8	191,5	2766,9	91,1
6421	28467,1	130,1	2872,6	70,8
6429	28265,0	163,8	2957,1	45,6
6439	28109,3	168,7	3042,2	70,0
6448	28005,1	127,9	3147,3	81,7
6456	27922,8	106,8	3184,5	51,1
6465	27874,3	130,5	3220,5	65,0
6475	27873,1	127,7	3258,8	49,6
6483	27830,0	117,3	3199,3	48,0
6492	27751,0	97,9	3147,9	74,4
6501	27940,8	199,8	3036,3	90,9
6511	27900,5	186,8	2932,6	94,9
6519	27846,9	158,3	2874,6	70,8
6528	28030,3	135,6	2724,4	55,1
6537	28090,6	184,4	2571,8	43,5
6546	28185,7	143,1	2470,7	62,1
6555	28434,9	198,2	2264,2	88,5
6564	28754,9	181,5	2100,9	78,0
6573	28751,3	214,0	1953,4	80,4
6583	28857,3	245,1	1713,4	54,8
6591	29019,0	257,7	1637,7	86,1
6600	29144,0	285,2	1463,8	75,6
6609	29495,9	114,2	1196,3	58,5
6618	29642,4	154,7	1119,1	55,3
6627	29704,3	180,0	947,1	53,7
6636	29821,7	79,7	821,7	47,6
6645	29964,2	187,9	725,6	61,3
6654	30107,5	160,4	674,1	35,3
6662	30075,1	133,5	584,8	28,0
6671	30033,1	214,2	551,2	19,8
6681	30058,6	221,1	535,4	22,5
6690	30134,6	153,6	569,3	12,9
6699	30001,0	108,7	602,9	33,6
6707	29800,9	149,2	682,5	36,3
6716	29748,8	155,9	769,5	47,9
6725	29614,5	184,0	863,7	27,5
6735	29421,9	198,4	986,8	70,1
6744	29292,1	175,3	1175,7	107,3
6754	29165,3	158,6	1268,2	47,4
6762	28891,0	208,3	1455,3	67,2
6771	28638,5	179,2	1643,6	67,9
6780	28546,0	115,7	1831,7	50,2
6789	28400,2	177,3	2048,7	62,7
6797	28201,2	129,1	2302,1	43,3
6807	28042,0	150,4	2394,0	76,3
6816	27997,3	191,5	2545,1	60,0
6825	27804,6	164,0	2721,1	92,4
6833	27759,8	207,6	2871,0	79,7
6843	27654,1	171,8	2944,6	85,8
6853	27539,6	217,6	3064,8	53,5
6860	27703,4	207,4	3119,6	63,0
6869	27610,5	168,2	3185,3	74,6
6878	27554,5	128,7	3240,0	73,5
6887	27721,6	237,5	3240,7	63,1
6896	27930,0	212,4	3285,3	49,2
6905	27912,3	244,7	3146,9	79,8
6914	28122,5	176,5	3073,9	68,0
6923	28314,5	159,0	3051,4	63,8
6932	28469,7	123,8	2954,0	52,8
6941	28658,3	193,4	2910,3	61,1
6950	28845,1	217,5	2722,7	99,0
6959	28954,9	173,6	2567,8	65,7
6968	29269,0	203,9	2363,2	54,4
6977	29442,6	235,5	2256,3	115,8
6986	29740,8	176,7	1972,2	52,5
6995	29900,0	222,4	1736,9	101,9
7004	30007,9	152,1	1627,8	83,6
7013	30179,6	168,9	1390,8	115,9
7022	30251,3	142,8	1301,1	53,9
7031	30361,2	166,1	1101,7	45,2
7039	30451,9	213,3	968,3	53,8
7048	30371,7	160,5	791,7	49,6
7058	30396,7	103,4	768,2	51,6
7065	30351,6	177,7	678,5	44,6
7075	30157,3	174,8	576,3	30,6
7085	30069,7	172,4	525,2	23,8
7093	30114,3	182,7	512,6	21,9
7102	29771,9	137,9	511,5	19,1
7110	29803,5	182,5	545,9	22,8
7121	29389,7	215,7	605,2	34,5
7128	29101,2	187,9	644,3	36,5
7137	28953,8	228,5	746,2	58,0
7146	28777,6	185,3	859,0	43,4
7156	28385,4	217,5	1029,1	59,3
7165	28200,1	252,2	1225,3	69,5
7173	27954,3	99,2	1365,1	41,4
7182	27677,9	153,5	1570,4	66,9
7191	27498,6	243,6	1761,1	89,2
7201	27272,0	193,4	1961,7	74,6
7209	27275,2	204,7	2084,9	121,8
7217	27262,9	169,2	2236,8	96,2
7226	27132,5	244,8	2442,9	81,4
7235	26981,8	190,7	2535,3	65,7
7244	27006,9	134,1	2710,2	50,5
7253	27105,5	179,1	2849,9	56,9
7263	27068,7	150,2	2951,2	85,3
7270	27232,1	202,0	3088,7	50,7
7280	27216,5	203,6	3152,2	62,1
7289	27406,8	118,8	3218,9	64,8
7298	27593,7	161,0	3243,6	57,3
7306	27786,0	227,7	3285,8	55,5
7315	28186,3	120,3	3227,6	48,7
7324	28422,4	168,2	3216,5	51,7
7334	28514,1	116,9	3193,3	50,6
7342	28909,6	167,7	3094,7	64,4
7351	29123,0	157,1	2989,8	67,4
7360	29627,4	336,7	2863,5	54,2
7369	29776,7	235,7	2712,3	37,5
7377	30063,3	211,8	2561,4	82,6
7386	30375,0	165,3	2378,4	94,1
7396	30445,2	265,6	2298,1	108,9
7404	30561,4	147,5	2134,9	30,6
7413	30750,0	191,2	1945,4	79,2
7422	30936,0	149,9	1745,9	104,9
7431	30984,9	177,6	1607,1	49,2
7440	31048,1	195,4	1375,4	44,3
7448	31073,9	176,9	1167,6	86,8
7457	31104,4	205,0	1028,2	72,7
7466	30975,3	266,0	882,1	98,1
7475	30802,1	104,7	764,3	32,8
7484	30640,6	240,4	702,5	89,3
7493	30493,7	188,6	620,4	50,0
7502	30183,3	254,1	523,3	28,1
7511	30003,1	204,6	514,5	20,6
7519	29666,8	89,0	491,4	19,2
7528	29324,5	192,4	491,1	9,9
7537	29126,0	143,2	529,6	28,1
7545	28738,4	300,8	570,5	43,3
7555	28429,6	283,4	635,6	59,2
7564	27850,7	170,2	789,3	63,0
7572	27765,6	195,9	846,8	54,2
7581	27149,7	142,2	1084,5	94,8
7590	26879,0	134,5	1204,9	41,3
7600	26764,4	197,0	1293,9	80,4
7607	26513,1	73,8	1517,0	66,3
7616	26464,6	153,6	1622,5	72,7
7625	26115,8	117,1	1916,6	64,1
7633	26060,6	123,6	2006,2	62,8
7643	26147,7	177,8	2191,4	100,1
7652	26095,2	175,5	2384,2	63,3
7660	26194,8	143,1	2548,6	60,9
7669	26290,6	201,0	2764,4	97,5
7677	26538,0	188,6	2922,5	46,1
7686	26484,5	205,9	2975,6	71,0
7696	26775,0	247,1	3090,4	36,3
7704	26943,0	207,1	3166,0	84,4
7714	27349,4	182,5	3233,7	55,5
7723	27744,8	268,4	3309,8	67,7
7731	28061,8	194,7	3258,0	48,1
7740	28603,1	213,5	3290,2	63,0
7748	28765,1	111,6	3263,7	53,9
7758	29326,3	163,0	3224,2	72,0
7766	29681,6	177,9	3134,5	50,9
7775	30033,1	132,6	3049,4	89,2
7784	30535,8	190,4	2916,4	62,8
7792	30894,1	217,1	2746,6	34,7
7802	31347,3	136,1	2596,5	80,0
7810	31405,8	226,0	2453,4	59,1
7819	31652,5	129,6	2333,1	64,9
7828	31901,5	239,8	2205,1	53,5
7837	32032,0	160,7	1989,5	85,7
7846	32130,2	194,1	1807,8	110,5
7854	32116,7	155,0	1577,1	102,9
7863	32097,6	154,3	1432,8	66,4
7872	32101,6	185,2	1269,4	40,3
7880	31853,0	195,3	1090,4	103,2
7889	31507,4	153,3	903,0	53,1
7898	31392,1	133,6	804,0	51,7
7908	31073,6	228,3	711,8	20,4
7915	30730,4	220,2	618,1	32,7
7924	30326,9	266,8	537,7	18,9
7933	30040,3	201,2	496,3	23,7
7942	29241,7	238,5	453,0	17,9
7950	28912,4	247,0	463,6	15,6
7960	28347,7	332,6	484,3	32,5
7968	27794,6	226,6	539,4	22,8
7977	27494,5	302,8	605,0	36,8
7985	26939,1	241,5	703,2	45,7
7994	26548,1	169,7	803,1	72,2
8004	26047,1	279,2	997,8	51,9
8011	25855,9	183,1	1091,3	68,4
8021	25609,0	151,8	1231,9	49,2
8029	25186,9	169,9	1445,0	68,8
8039	25051,8	132,5	1577,3	81,2
8047	24957,6	184,2	1785,6	101,1
8055	24950,4	292,9	1934,8	140,8
8065	24963,0	134,0	2162,3	38,5
8073	24960,2	201,7	2295,0	64,3
8082	25153,6	128,2	2479,5	65,4
8091	25342,4	163,0	2654,3	64,9
8100	25704,1	236,0	2841,9	94,4
8109	26315,5	187,7	2999,6	78,8
8117	26365,5	194,8	3031,7	75,1
8125	26986,1	85,2	3143,5	53,7
8135	27542,3	277,0	3286,3	72,2
8144	27818,7	373,4	3259,6	68,8
8151	28646,9	375,5	3325,7	45,2
8161	29001,3	213,5	3328,7	56,3
8170	29255,7	307,0	3313,1	57,0
8178	29948,3	173,0	3286,7	69,9
8187	30509,7	171,0	3260,5	68,7
8196	31011,1	132,7	3134,9	53,0
8205	31423,5	253,4	3051,1	72,8
8213	31807,2	175,5	2943,7	74,8
8223	32268,0	182,2	2807,9	52,7
8231	32559,5	188,4	2602,7	123,5
8239	32986,4	210,7	2465,3	65,3
8247	33163,0	152,0	2256,9	93,6
8258	33181,2	186,4	2057,3	54,5
8266	33293,0	200,9	1878,1	112,0
8275	33331,9	179,5	1693,1	28,9
8283	33186,2	216,9	1533,5	60,5
8292	33138,6	183,9	1372,3	51,9
8301	32723,1	194,8	1144,2	79,0
8310	32178,6	206,7	1005,3	53,4
8319	31881,3	212,0	840,3	48,9
8327	31388,9	251,3	727,0	40,6
8336	30817,4	295,9	624,1	38,8
8344	30386,6	298,9	550,1	42,7
8353	29713,4	201,6	472,9	19,9
8362	28948,5	232,5	435,8	21,0
8371	28483,5	272,1	430,1	17,0
8380	27673,6	298,1	432,8	20,8
8389	27057,5	357,1	470,0	31,9
8397	26477,6	277,4	528,2	43,4
8406	25795,0	292,3	620,7	34,9
8414	25603,3	288,0	700,8	62,2
8423	24757,9	164,9	879,6	35,9
8432	24350,3	196,7	1018,9	61,5
8442	24078,7	210,5	1170,9	103,0
8449	23792,8	185,3	1294,4	48,9
8458	23695,5	156,3	1559,5	125,6
8467	23581,9	173,2	1662,7	72,6
8475	23713,5	163,6	2034,7	95,7
8484	23660,2	143,8	2017,0	95,7
8493	23827,5	241,6	2252,3	95,5
8501	24160,3	143,9	2364,1	47,7
8511	24489,7	298,0	2604,1	133,0
8519	25043,1	204,9	2745,4	68,5
8528	25531,2	297,1	2941,4	91,8
8537	25962,4	251,7	3039,7	63,5
8544	26338,9	222,6	3107,1	64,1
8554	27082,2	414,0	3180,3	48,4
8562	27718,5	341,8	3278,6	72,4
8571	28936,9	309,7	3340,8	68,0
8580	29461,6	260,9	3370,7	38,6
8588	30138,7	374,6	3358,7	37,5
8598	30660,0	299,6	3299,8	55,2
8606	31290,5	238,2	3281,8	78,6
8614	31971,6	356,5	3191,2	78,8
8623	32652,5	229,9	3153,9	41,8
8632	33142,8	241,7	3047,6	65,3
8642	33623,3	298,8	2900,5	72,0
8649	34173,2	268,6	2709,2	41,4
8658	34475,3	170,7	2515,2	52,7
8668	34657,1	169,2	2294,2	80,4
8676	34748,8	179,5	2183,1	76,5
8685	34720,0	298,1	2017,3	99,6
8693	34545,5	119,7	1755,7	74,9
8703	34361,2	292,3	1644,8	59,7
8711	34079,5	207,6	1459,8	72,4
8719	33598,6	187,6	1210,3	112,5
8728	32907,2	299,2	989,7	78,9
8737	32362,6	373,3	893,1	99,6
8746	31520,6	291,6	711,7	46,6
8754	30897,2	315,0	644,2	49,0
8763	30075,5	374,0	523,8	41,1
8772	29352,9	403,4	457,7	38,9
8780	28819,6	148,7	423,9	20,7
8789	27769,0	411,4	398,4	23,0
8799	26929,1	234,5	381,4	14,4
8806	25944,6	492,4	449,9	42,3
8816	25089,9	425,6	488,8	52,0
8825	24644,4	517,9	547,2	68,4
8833	24052,2	268,1	653,1	47,1
8842	23645,6	179,9	738,8	48,9
8849	23255,6	240,5	859,0	59,3
8859	22677,4	172,1	1034,3	78,8
8868	22384,6	138,2	1203,3	84,5
8877	22226,5	236,3	1330,9	74,5
8885	22210,0	152,0	1548,8	76,5
8893	22226,8	186,7	1768,7	113,6
8903	22418,1	136,2	1987,3	55,6
8911	22827,2	289,7	2218,4	87,7
8920	23217,7	173,7	2394,5	66,6
8928	23654,3	169,4	2526,5	73,7
8937	24191,2	162,6	2704,3	65,8
8946	24604,8	383,6	2761,3	103,0
8954	25905,3	298,3	3047,2	64,5
8964	26982,5	347,8	3175,4	51,5
8972	27285,8	240,0	3201,5	83,9
8980	28325,5	356,6	3280,8	85,3
8989	29052,1	362,5	3322,5	53,1
8999	30198,8	394,0	3409,6	19,5
9007	30858,4	276,3	3352,5	76,3
9014	31449,2	304,3	3389,7	55,8
9025	32991,7	390,0	3302,9	70,6
9033	33456,5	437,8	3226,8	52,4
9042	34207,1	238,9	3200,0	86,6
9050	34996,8	194,2	3071,7	78,6
9059	35247,4	260,8	2993,7	46,3
9068	35700,6	236,3	2818,5	76,2
9076	36153,3	233,5	2627,2	118,0
9085	36196,3	160,3	2466,1	67,7
9093	36329,1	97,3	2231,4	68,8
9103	36118,5	191,2	2070,0	117,5
9111	36011,1	287,6	1878,1	91,9
9120	35779,3	152,8	1688,7	98,0
9128	35264,7	199,8	1526,6	39,1
9138	34749,1	286,2	1365,5	51,2
9145	34106,0	268,7	1179,2	77,5
9154	32707,9	286,6	891,9	29,5
9164	32068,3	550,7	797,8	95,2
9173	31455,0	328,7	690,1	40,3
9180	30180,5	485,5	547,3	41,9
9189	29145,0	312,8	460,2	24,1
9197	28779,6	589,7	450,8	32,0
9207	27553,0	376,4	389,2	22,4
9214	26626,3	379,3	362,1	15,7
9224	25432,1	306,3	359,9	16,5
9233	24343,5	188,9	411,7	29,0
9240	23848,4	331,8	442,2	33,8
9248	22685,1	288,5	549,7	40,2
9257	22322,7	204,5	631,7	48,8
9267	21742,7	194,5	733,8	51,1
9275	21290,4	168,2	906,2	47,6
9284	20905,5	117,5	1075,4	54,3
9293	20740,4	72,7	1160,4	51,6
9301	20707,0	113,3	1384,7	70,5
9310	20760,3	159,7	1611,3	50,6
9318	20971,8	264,9	1816,7	86,5
9327	21277,7	218,6	1990,0	64,0
9336	21654,1	185,0	2139,1	50,1
9343	22164,2	228,4	2288,8	68,3
9353	22805,5	196,1	2506,3	50,3
9362	23936,4	362,3	2738,9	85,7
9371	24610,2	295,1	2833,6	49,2
9379	25542,1	438,6	2982,9	102,3
9388	26586,1	385,1	3100,4	79,8
9396	27720,9	327,6	3195,1	72,0
9405	28524,3	331,2	3280,5	50,9
9413	30034,1	279,4	3362,3	60,4
9422	31042,2	543,0	3413,0	77,8
9430	32046,1	347,4	3409,4	37,7
9439	33460,6	414,1	3422,6	74,1
9447	34161,6	251,5	3351,4	82,2
9457	35128,9	308,7	3315,4	68,0
9465	35492,9	391,0	3260,0	68,4
9474	36652,8	238,4	3145,3	50,4
9482	36905,5	121,8	3029,8	54,4
9491	37469,2	279,4	2838,4	88,3
9499	37705,0	126,6	2678,2	88,6
9508	37836,7	134,3	2518,4	81,5
9516	37761,3	241,2	2312,5	65,2
9525	37600,3	201,2	2177,5	54,7
9534	37239,0	155,1	1981,8	51,9
9542	36852,8	297,7	1815,4	94,9
9551	36403,5	249,9	1669,4	56,8
9560	35553,2	273,4	1384,8	90,7
9568	34935,2	393,6	1275,3	60,0
9577	33706,2	395,2	1017,9	52,5
9585	32706,2	487,7	879,5	61,6
9594	31559,1	691,7	732,3	83,9
9603	29998,4	466,5	578,8	47,3
9611	28914,0	463,6	480,0	24,4
9620	28475,7	367,8	452,8	34,1
9628	27240,7	457,6	389,2	22,0
9636	25760,9	289,7	336,3	15,5
9645	24697,7	372,0	337,3	18,4
9654	23321,4	367,0	343,8	27,3
9663	22356,9	242,7	381,0	29,0
9671	21406,2	360,0	465,9	25,8
9680	20400,9	304,6	611,8	75,4
9689	20224,9	305,7	620,3	56,3
9697	19560,8	307,4	813,2	80,5
9706	19173,2	207,1	968,6	54,0
9714	19049,9	156,8	1151,0	110,2
9722	19068,5	79,0	1317,3	73,9
9731	19135,9	107,7	1428,4	60,6
9740	19554,8	207,2	1729,4	98,9
9748	20049,6	206,1	1947,7	80,1
9757	20275,3	446,2	2002,2	111,4
9766	21052,6	275,4	2225,3	118,3
9774	22106,8	368,9	2464,2	84,3
9783	23387,7	387,0	2683,7	85,0
9791	23880,4	354,9	2753,7	63,9
9798	25595,2	661,8	2991,7	103,1
9807	26225,8	258,3	3067,2	48,1
9817	27603,3	622,1	3155,0	55,3
9825	29186,9	632,2	3272,8	76,7
9834	30406,0	335,7	3375,2	54,9
9842	31821,3	233,4	3407,8	58,0
9851	33306,4	425,0	3456,7	62,3
9860	34137,0	287,6	3454,2	71,1
9867	34737,9	375,1	3423,9	63,0
9877	36680,9	804,4	3333,0	89,5
9885	36868,0	232,9	3304,0	46,3
9894	37705,4	310,8	3214,2	52,8
9901	38648,2	362,0	3050,2	40,3
9910	38906,6	462,2	3029,8	156,6
9919	39428,8	170,4	2762,2	67,3
9927	39447,5	105,9	2622,7	63,8
9935	39353,2	116,0	2354,6	84,1
9944	38986,2	215,3	2207,2	74,1
9952	38773,9	295,8	2054,7	83,4
9961	38378,5	217,5	1919,3	41,4
9968	37150,3	348,5	1609,4	73,1
9978	36198,9	345,3	1448,4	52,1
9987	35141,9	518,4	1243,5	79,4
9995	34199,0	839,9	1097,6	133,4
10003	33015,6	493,5	925,2	51,9
10012	30936,7	822,0	698,8	88,5
10021	29865,9	1104,9	611,1	94,5
10028	28398,1	595,4	499,8	38,7
10038	27346,1	697,5	419,5	41,0
10045	25681,4	411,7	357,7	21,1
10054	24861,6	540,5	321,5	27,7
10063	23174,1	488,8	301,5	24,7
10071	21584,0	281,3	310,1	14,3
10081	20483,4	460,9	356,2	24,4
10088	19858,6	420,0	403,6	34,2
10097	18791,6	162,1	504,9	31,2
10106	18146,0	139,3	622,3	26,6
10113	17773,4	122,3	723,8	50,6
10123	17493,3	165,8	850,6	64,9
10131	17329,6	141,9	1009,3	54,2
10139	17394,4	125,1	1214,4	83,1
10148	17625,1	181,9	1500,6	62,9
10156	17896,7	273,2	1584,3	78,0
10165	18647,7	214,3	1820,2	71,9
10173	19474,9	467,0	2013,3	94,0
10182	20200,1	487,0	2178,2	131,2
10190	21833,3	570,8	2472,9	83,4
10199	22210,9	516,7	2535,1	103,6
10207	24543,1	597,0	2800,4	90,6
10215	25442,3	716,6	2922,4	73,0
10224	26485,5	348,6	3028,1	78,9
10232	27538,4	552,6	3121,8	95,4
10242	29186,3	337,7	3264,9	92,1
10250	31179,7	469,9	3373,4	65,1
10258	32173,8	412,9	3406,1	58,4
10266	33877,9	710,7	3445,3	61,2
10275	35045,5	201,5	3462,7	40,3
10283	36340,5	666,4	3449,6	78,7
10292	37248,1	430,8	3487,1	66,8
10300	38988,0	363,8	3380,3	86,4
10309	39737,9	137,7	3276,5	45,6
10316	40280,8	381,0	3216,7	78,9
10325	40689,8	353,1	3131,9	75,5
10334	41026,5	263,2	2935,5	92,1
10343	41135,1	153,2	2683,6	50,6
10350	40990,6	183,4	2592,6	106,7
10359	40102,1	314,6	2149,0	87,6
10368	40301,6	472,0	2249,3	147,8
10376	39740,4	263,7	2056,6	57,1
10384	38638,0	473,1	1793,1	85,1
10393	37941,5	438,5	1621,0	78,4
10401	36568,3	522,9	1414,7	71,8
10409	34916,2	359,4	1166,7	54,0
10417	34165,5	346,0	1108,1	48,6
10427	32091,4	968,1	872,1	93,4
10434	30501,4	579,2	715,4	49,0
10443	29110,9	558,5	601,3	50,8
10451	27422,5	553,3	475,2	46,5
10460	25396,5	466,5	373,9	20,1
10468	24380,5	506,2	334,1	25,5
10477	22500,6	667,2	280,1	19,2
10485	22177,3	784,8	281,7	18,8
10494	20451,5	654,2	268,1	20,9
10502	18995,4	602,3	305,3	18,8
10510	17856,3	434,3	365,8	33,8
10519	17196,2	304,4	434,1	34,1
10527	16466,6	464,7	538,2	66,9
10535	15946,7	135,3	671,1	68,0
10543	15535,5	115,5	873,5	52,7
10552	15476,2	63,4	920,2	39,8
10560	15727,0	135,4	1168,8	100,7
10570	16063,6	172,5	1348,9	68,7
10576	16488,8	279,7	1493,7	74,9
10586	17242,5	132,1	1703,4	45,8
10595	18433,4	269,8	1954,9	69,4
