# Quantenoptiklabor: Experiment Interferenz und Energiekorrelation
# Messung vom 28.09.2008, 08:15 Uhr
# Datenaufnahme: Pro Datenpunkt 10 Messungen mit 1s: Mittelwert und Standardabweichung
# Didaktik der Physik, Universität Erlangen
# Lab-User: P. Bronner

#Aufnahme der Koinzidenzen von Trigger&Transmittiert + Trigger&Reflektiert

#Achsenbeschriftung:
# Weg [nm]	Einzelereignisse [Hz]	Stab Einzel [Hz]	Koinz [Hz]	Stab Koinz [Hz]

976	30441,9	236,7	2771,3	69,4
983	30513,5	183,6	2747,1	70,8
991	30386,8	131,2	2722,3	34,1
997	30434,8	151,3	2634,5	45,4
1004	30285,5	192,8	2578,4	53,3
1011	30195,1	133,3	2497,1	99,4
1018	30226,7	214,0	2448,0	64,0
1024	30013,2	182,4	2290,3	78,6
1032	29899,8	136,4	2221,0	54,5
1039	29802,9	203,1	2094,9	73,6
1046	29717,7	152,8	2006,3	43,7
1053	29476,7	119,1	1904,4	52,6
1060	29531,2	215,7	1830,8	69,7
1067	29300,2	233,1	1727,1	73,7
1075	29138,7	147,1	1599,4	52,8
1081	28778,9	254,4	1423,9	84,9
1088	28833,0	195,3	1439,1	64,6
1096	28746,2	256,5	1329,4	55,7
1103	28551,6	226,2	1236,7	40,2
1110	28410,5	317,9	1191,7	51,4
1117	28383,8	179,7	1153,1	50,1
1124	28116,6	161,4	1060,5	54,4
1131	28107,5	114,7	1008,3	36,9
1139	27986,8	172,9	974,2	36,9
1146	27946,0	199,7	954,9	30,5
1153	27921,3	172,0	962,9	23,2
1159	27914,8	197,0	939,8	32,8
1167	27741,9	204,2	933,7	24,4
1174	27809,7	221,4	969,4	25,5
1182	27746,5	148,5	984,5	46,3
1188	27769,2	233,0	1011,0	40,0
1195	27827,4	185,5	1054,1	51,2
1203	27899,0	123,5	1106,1	34,7
1210	27950,7	161,9	1152,4	44,4
1217	28098,0	192,8	1278,3	46,4
1224	28026,1	139,5	1278,7	44,5
1232	28161,4	194,6	1392,5	75,2
1239	28452,2	107,8	1488,4	62,5
1246	28571,4	221,0	1627,8	58,2
1253	28676,4	162,9	1661,9	51,0
1261	28838,2	150,3	1811,2	45,9
1268	28958,2	171,2	1932,6	51,2
1275	29135,1	198,7	1980,1	47,4
1283	29215,1	180,0	2092,7	41,4
1290	29327,9	157,5	2214,6	44,1
