date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:50:47	60246/60246	---M--	200	added ('OK')	image/jpeg	etag:%22eb56-46db7d0d67140%22	https://quantumlab.nat.fau.de/Kryptographie/V-QKD/Skizze.jpg	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Kryptographie/V-QKD/Skizze.jpg	(from https://quantumlab.nat.fau.de/Kryptographie/V-QKD/index.html)
16:50:47	32212/32212	---M--	200	added ('OK')	image/jpeg	etag:%227dd4-452d7ebf52340%22	https://quantumlab.nat.fau.de/Kryptographie/V-QKD/TabelleV.jpg	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Kryptographie/V-QKD/TabelleV.jpg	(from https://quantumlab.nat.fau.de/Kryptographie/V-QKD/index.html)
16:50:47	6327/6327	---M--	200	added ('OK')	image/jpeg	etag:%2218b7-452afa7464f80%22	https://quantumlab.nat.fau.de/Kryptographie/V-QKD/Tab.jpg	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Kryptographie/V-QKD/Tab.jpg	(from https://quantumlab.nat.fau.de/Kryptographie/V-QKD/index.html)
16:50:47	8816/8816	---M--	200	added ('OK')	image/jpeg	etag:%222270-452c0630f7b00%22	https://quantumlab.nat.fau.de/Kryptographie/V-QKD/Formel-Wigner.jpg	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Kryptographie/V-QKD/Formel-Wigner.jpg	(from https://quantumlab.nat.fau.de/Kryptographie/V-QKD/index.html)
16:50:48	91877/91877	---M--	200	added ('OK')	image/jpeg	etag:%22166e5-450e420a08940%22	https://quantumlab.nat.fau.de/Verschraenkung/Grundlagen/KristallK1.jpg	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/Grundlagen/KristallK1.jpg	(from https://quantumlab.nat.fau.de/Verschraenkung/Grundlagen/index.html)
16:50:48	329391/329391	---M--	200	added ('OK')	image/jpeg	etag:%22506af-452d590d17380%22	https://quantumlab.nat.fau.de/Kryptographie/V-QKD/V-Experiment.jpg	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Kryptographie/V-QKD/V-Experiment.jpg	(from https://quantumlab.nat.fau.de/Kryptographie/V-QKD/index.html)
16:50:48	92476/92476	---M--	200	added ('OK')	image/jpeg	etag:%221693c-450e420a08940%22	https://quantumlab.nat.fau.de/Verschraenkung/Grundlagen/KristallK2.jpg	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/Grundlagen/KristallK2.jpg	(from https://quantumlab.nat.fau.de/Verschraenkung/Grundlagen/index.html)
16:50:48	42842/42842	---M--	200	added ('OK')	image/jpeg	etag:%22a75a-46db7df248d40%22	https://quantumlab.nat.fau.de/Verschraenkung/Grundlagen/Quelle.jpg	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/Grundlagen/Quelle.jpg	(from https://quantumlab.nat.fau.de/Verschraenkung/Grundlagen/index.html)
16:50:49	20914/20914	---M-Z	200	added ('OK')	text/plain	etag:%2251b2-4586c9935e140-gzip%22	https://quantumlab.nat.fau.de/Verschraenkung/Grundlagen/Daten-Einzel-50-50.txt	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/Grundlagen/Daten-Einzel-50-50.txt	(from https://quantumlab.nat.fau.de/Verschraenkung/Grundlagen/index.html)
16:50:49	18290/18290	---M--	200	added ('OK')	image/jpeg	etag:%224772-46b84506cb800%22	https://quantumlab.nat.fau.de/Verschraenkung/gleiche-Winkel/Strahlteiler.jpg	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/gleiche-Winkel/Strahlteiler.jpg	(from https://quantumlab.nat.fau.de/Verschraenkung/gleiche-Winkel/index.html)
16:50:49	108392/108392	---M--	200	added ('OK')	image/jpeg	etag:%221a768-450e4749c2b80%22	https://quantumlab.nat.fau.de/Verschraenkung/gleiche-Winkel/PBSK.jpg	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/gleiche-Winkel/PBSK.jpg	(from https://quantumlab.nat.fau.de/Verschraenkung/gleiche-Winkel/index.html)
16:50:50	223177/223177	---M-Z	200	added ('OK')	text/plain	etag:%22367c9-4586c94712d40-gzip%22	https://quantumlab.nat.fau.de/Verschraenkung/gleiche-Winkel/Daten_Einzeln.txt	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/gleiche-Winkel/Daten_Einzeln.txt	(from https://quantumlab.nat.fau.de/Verschraenkung/gleiche-Winkel/index.html)
16:50:50	35894/35894	---M--	200	added ('OK')	image/jpeg	etag:%228c36-46b8474c89480%22	https://quantumlab.nat.fau.de/Verschraenkung/Hardy/Skizze.jpg	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/Hardy/Skizze.jpg	(from https://quantumlab.nat.fau.de/Verschraenkung/Hardy/index.html)
16:50:50	44954/44954	---M--	200	added ('OK')	image/jpeg	etag:%22af9a-44fdae5572100%22	https://quantumlab.nat.fau.de/Verschraenkung/Hardy/TabelleGr.jpg	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/Hardy/TabelleGr.jpg	(from https://quantumlab.nat.fau.de/Verschraenkung/Hardy/index.html)
16:50:50	45406/45406	---M--	200	added ('OK')	image/jpeg	etag:%22b15e-46c5dd30633c0%22	https://quantumlab.nat.fau.de/Verschraenkung/Hardy/Experiment.jpg	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/Hardy/Experiment.jpg	(from https://quantumlab.nat.fau.de/Verschraenkung/Hardy/index.html)
16:50:50	50989/50989	---M--	200	added ('OK')	image/jpeg	etag:%22c72d-44e1e75e88240%22	https://quantumlab.nat.fau.de/Verschraenkung/Hardy/WP.jpg	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/Hardy/WP.jpg	(from https://quantumlab.nat.fau.de/Verschraenkung/Hardy/index.html)
16:50:51	40980/40980	---M-Z	200	added ('OK')	text/plain	etag:%22a014-4586be2d1fc40-gzip%22	https://quantumlab.nat.fau.de/Verschraenkung/Hardy/Daten-Hardy-einzeln.txt	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/Hardy/Daten-Hardy-einzeln.txt	(from https://quantumlab.nat.fau.de/Verschraenkung/Hardy/index.html)
16:50:51	768512/768512	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%22bba00-45845bfefe3c0%22	https://quantumlab.nat.fau.de/Verschraenkung/Hardy/ListeHardy.xls	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/Hardy/ListeHardy.xls	(from https://quantumlab.nat.fau.de/Verschraenkung/Hardy/index.html)
16:50:51	76819/76819	---M--	200	added ('OK')	image/jpeg	etag:%2212c13-46db7f499b740%22	https://quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/Aufbau.jpg	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/Aufbau.jpg	(from https://quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/index.html)
16:50:51	8192/8192	---M--	200	added ('OK')	image/jpeg	etag:%222000-44efd94623880%22	https://quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/Formel2.jpg	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/Formel2.jpg	(from https://quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/index.html)
16:50:52	9455/9455	---M--	200	added ('OK')	image/jpeg	etag:%2224ef-44efd97d73b00%22	https://quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/Formel3.jpg	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/Formel3.jpg	(from https://quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/index.html)
16:50:52	9807/9807	---M-Z	200	added ('OK')	text/plain	etag:%22264f-44bb2f5dce900-gzip%22	https://quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/Daten-50-50.txt	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/Daten-50-50.txt	(from https://quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/index.html)
16:50:52	50147/50147	---M-Z	200	added ('OK')	text/plain	etag:%22c3e3-44bb3dadd2d80-gzip%22	https://quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/Daten_Winkel.txt	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/Daten_Winkel.txt	(from https://quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/index.html)
16:50:52	3675/3675	---M-Z	200	added ('OK')	text/plain	etag:%22e5b-45538964cfcc0-gzip%22	https://quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/Daten_Malus.txt	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/Daten_Malus.txt	(from https://quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/index.html)
16:50:52	1737/1737	---M-Z	200	added ('OK')	text/plain	etag:%226c9-469ddf9d4bbc0-gzip%22	https://quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/Daten_Malus_V.txt	C:/Users/Ricci/Desktop/QLA/QuantumLab/quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/Daten_Malus_V.txt	(from https://quantumlab.nat.fau.de/Verschraenkung/Uni-Winkel/index.html)
